layer	cos_seq	cos_tok
0	0.975485	0.949479
1	0.963219	0.934110
2	0.952420	0.909070
3	0.950355	0.899621
4	0.938295	0.884685
5	0.941613	0.872016
6	0.938150	0.849671
7	0.930893	0.848152
8	0.918881	0.827817
9	0.919376	0.828146
10	0.907609	0.821673
11	0.893553	0.807105
12	0.883826	0.785183
13	0.856300	0.737962
14	0.794262	0.687296
15	0.722799	0.619981
16	0.644496	0.549434
17	0.577452	0.492689
18	0.484651	0.412639
19	0.454312	0.383699
20	-0.002272	-0.002294
21	0.011510	-0.003004
22	0.018686	-0.002889
23	-0.013072	0.003366
24	-0.058521	-0.007086
25	0.034452	-0.000902
